dt,output
0.1,4.78248569e-3
0.2,1.88631091e-3
0.3,9.20290553e-4
0.4,4.79840257e-4
0.5,2.81978795e-4
0.6,1.67922242e-4
0.7,1.20450354e-4
0.8,9.48226257e-5
0.9,7.76840556e-5
1.0,6.89261210e-5
1.1,6.44946677e-5
1.2,5.64681750e-5
1.3,5.72236766e-5
1.4,5.01020735e-5
1.5,4.75081016e-5
1.6,5.14516979e-5
1.7,5.42609927e-5
1.8,3.18865479e-1
1.9,8.30217568e-1
2.0,7.26895301e-1
2.1,7.07828182e-1
2.2,6.62319926e-1
