dt,output
0.1,4.51983577e-2
0.2,2.69162424e-2
0.3,1.93069773e-2
0.4,1.38488637e-2
0.5,1.07583590e-2
0.6,8.46934702e-3
0.7,7.12547553e-3
0.8,5.99484250e-3
0.9,5.31899676e-3
1.0,4.53487851e-3
1.1,4.02362599e-3
1.2,3.76493581e-3
1.3,3.38517815e-3
1.4,3.12571585e-3
1.5,2.88614044e-3
1.6,2.70058239e-3
1.7,9.54548457e-3
1.8,9.93376764e-3
1.9,4.47500630e-3
2.0,1.31318562e-2
2.1,2.75496090e-1
2.2,6.62319926e-1
