P,dt,max_bond_dim,filepath_patterns,output
1000,0.1,10,patterns_17-21.npy,0.005051152578954048
1000,0.2,10,patterns_17-21.npy,0.0018840432097205068
1000,0.3,10,patterns_17-21.npy,0.0008288060703968217
1000,0.4,10,patterns_17-21.npy,0.00043604217440582765
1000,0.5,10,patterns_17-21.npy,0.0002254573702352089
1000,0.6,10,patterns_17-21.npy,0.00013695503610381549
1000,0.7,10,patterns_17-21.npy,8.884488655171857e-05
1000,0.8,10,patterns_17-21.npy,7.36484730139847e-05
1000,0.9,10,patterns_17-21.npy,5.916331056891877e-05
1000,1.0,10,patterns_17-21.npy,6.129702014011362e-05
1000,1.1,10,patterns_17-21.npy,6.0993362178754507e-05
1000,1.2,10,patterns_17-21.npy,4.1754801015612963e-05
1000,1.3,10,patterns_17-21.npy,6.465432528401233e-05
1000,1.4,10,patterns_17-21.npy,6.221907721786629e-05
1000,1.5,10,patterns_17-21.npy,6.618799065630926e-05
1000,1.6,10,patterns_17-21.npy,6.168842573849725e-05
1000,1.7,10,patterns_17-21.npy,3.713958860799074e-05
1000,1.8,10,patterns_17-21.npy,0.734942719150798
1000,1.9,10,patterns_17-21.npy,0.7049250001360846
